Molecule_id,SMILES,total_donors,total_acceptors,architecture,molecular_weight,logp
PDA-DP,CC1(C)c2cc(-c3ccccc3)ccc2N(c2ccc(S(=O)(=O)c3ccc(N4c5ccc(-c6ccccc6)cc5C(C)(C)c5cc(-c6ccccc6)ccc54)cc3)cc2)c2ccc(-c3ccccc3)cc21,2,0,2D-0A,937.221,17.40559999999998
9CzFDBFDPO,O=P(c1ccccc1)(c1ccccc1)c1cccc2c1oc1c(P(=O)(c3ccccc3)c3ccccc3)cc(-c3ccc(C4(c5ccc(-n6c7ccccc7c7ccccc76)cc5)c5ccccc5-c5ccccc54)cc3)cc12,1,0,1D-0A,1050.147,15.991999999999964
9PhCzFDBFDPO,O=P(c1ccccc1)(c1ccccc1)c1cccc2c1oc1c(P(=O)(c3ccccc3)c3ccccc3)cc(-c3ccc(C4(c5ccc(-c6ccc(-n7c8ccccc8c8ccccc87)cc6)cc5)c5ccccc5-c5ccccc54)cc3)cc12,1,0,1D-0A,1126.2449999999997,17.65899999999998
9PhCzFDBFSPO,O=P(c1ccccc1)(c1ccccc1)c1cccc2c1oc1ccc(-c3ccc(C4(c5ccc(-c6ccc(-n7c8ccccc8c8ccccc87)cc6)cc5)c5ccccc5-c5ccccc54)cc3)cc12,1,0,1D-0A,926.0680000000001,16.019599999999965
9CzFDBFSPO,O=P(c1ccccc1)(c1ccccc1)c1cccc2c1oc1ccc(-c3ccc(C4(c5ccc(-n6c7ccccc7c7ccccc76)cc5)c5ccccc5-c5ccccc54)cc3)cc12,1,0,1D-0A,849.9700000000001,14.35259999999997
9ArFDBFxPO,O=P(c1ccccc1)(c1ccccc1)c1cccc2c1oc1c(P(=O)(c3ccccc3)c3ccccc3)cc(-c3ccc(C4(c5ccc(-n6c7ccccc7c7ccccc76)cc5)c5ccccc5-c5ccccc54)cc3)cc12,1,0,1D-0A,1050.147,15.991999999999964
12BTCzTPN,N#Cc1c(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccc4c5ccccc5sc4c32)c(C#N)c(-n2c3ccccc3c3ccccc32)c1-n1c2ccccc2c2ccc3c4ccccc4sc3c21,4,4,Multi-D/A,1001.2119999999996,18.554160000000007
oDTBPZ-DPXZ,Cc1ccccc1-c1cc2nc3c4ccc(N5c6ccccc6Oc6ccccc65)cc4c4cc(N5c6ccccc6Oc6ccccc65)ccc4c3nc2cc1-c1ccccc1C,4,2,Multi-D/A,822.968,16.191239999999972
3DMAC-BP-CN,CC1(C)c2ccccc2N(c2ccc3c(c2)c2cc(N4c5ccccc5C(C)(C)c5ccccc54)ccc2c2nc4cc(N5c6ccccc6C(C)(C)c6ccccc65)c(C#N)cc4nc32)c2ccccc21,3,4,Multi-D/A,927.1679999999997,17.288379999999975
3DMAC-BP-Br,CC1(C)c2ccccc2N(c2ccc3c(c2)c2cc(N4c5ccccc5C(C)(C)c5ccccc54)ccc2c2nc4cc(N5c6ccccc6C(C)(C)c6ccccc65)c(Br)cc4nc32)c2ccccc21,3,2,Multi-D/A,981.0539999999997,18.17919999999999
TPA-PZCN,N#Cc1ccc2c(c1)c1cc(C#N)ccc1c1nc3cc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)c(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3nc21,2,6,Multi-D/A,816.968,15.106359999999968
1PXZ-BP,c1ccc2c(c1)Oc1ccccc1N2c1ccc2c(c1)c1ccccc1c1nc3ccccc3nc21,2,2,2D-2A,461.52400000000017,8.664899999999998
PTZ-DBTO2,O=S1(=O)c2ccccc2-c2cc(N3c4ccccc4Sc4ccccc43)ccc21,2,0,2D-0A,413.5230000000001,6.434200000000004
BACQ,CC1(C)c2c(ccc3ccccc23)-n2c3ccccc3c(=O)c3cccc1c32,1,0,1D-0A,361.44400000000013,5.936400000000005
2Cz-DMAC-TXO,CC1(C)c2cc(-n3c4ccccc4c4ccccc43)ccc2N(c2ccc3sc4ccccc4c(=O)c3c2)c2ccc(-n3c4ccccc4c4ccccc43)cc21,3,0,Multi-D/A,749.9390000000001,13.717999999999973
2Cz-DMAC-TTR,CC1(C)c2cc(-n3c4ccccc4c4ccccc43)ccc2N(c2ccc3c(c2)S(=O)(=O)c2ccccc2S3(=O)=O)c2ccc(-n3c4ccccc4c4ccccc43)cc21,3,0,Multi-D/A,817.9920000000001,11.968899999999982
2Cz-DMAC-BTB,CC1(C)c2cc(-n3c4ccccc4c4ccccc43)ccc2N(c2ccc3c(c2)-c2ccccc2S3(=O)=O)c2ccc(-n3c4ccccc4c4ccccc43)cc21,3,0,Multi-D/A,753.927,12.803099999999977
DMAC-BPP,CC1(C)c2ccccc2N(c2cc(-c3cc(-c4ccc(-c5ccccc5)cc4)nc(-c4ccccc4)n3)cc(N3c4ccccc4C(C)(C)c4ccccc43)c2)c2ccccc21,2,1,D-A-D,799.0339999999999,15.362799999999968
Me-MOC,COc1ccc2c(c1)c1ccccc1n2-c1ccc(-c2c(C#N)c(C)nc(C)c2C#N)cc1,1,2,A-D-A,428.49500000000023,6.2145000000000055
Me-DOC,COc1ccc2c(c1)c1cc(OC)ccc1n2-c1ccc(-c2c(C#N)c(C)nc(C)c2C#N)cc1,1,2,A-D-A,458.52100000000024,6.223100000000006
3DCPO,O=P(c1ccccc1)(c1ccc2c(c1)c1ccccc1n2-c1ccccc1)c1ccc2c(c1)c1ccccc1n2-c1ccccc1,2,0,2D-0A,608.6810000000002,9.520199999999997
TDBA-TPDICz,CC(C)(C)c1ccc2c(c1)B1c3cc(C(C)(C)C)ccc3Oc3cc(-n4c5ccccc5c5c(-c6ccccc6)c6c(c(-c7ccccc7)c54)c4ccccc4n6-c4ccccc4)cc(c31)O2,2,0,2D-0A,864.898,14.537399999999964
TRZ-pIC,CC(C)(C)c1ccc2c(c1)B1c3cc(C(C)(C)C)ccc3Oc3cc(-n4c5ccccc5c5c(-c6ccccc6)c6c(c(-c7ccccc7)c54)c4ccccc4n6-c4ccccc4)cc(c31)O2,2,0,2D-0A,864.898,14.537399999999964
SBF-PXZ,c1ccc2c(c1)Oc1ccccc1N2c1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(N3c4ccccc4Oc4ccccc43)ccc1-2,4,0,Multi-D/A,678.7910000000002,13.18109999999998
PtOEP,CCC1=C(CC)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC.[Pt+2],0,0,Unknown,729.8700000000003,10.023499999999993
PxCYP,N#Cc1ccc(-c2ccc(N3c4ccccc4Oc4ccccc43)cc2)nc1-c1ccc(N2c3ccccc3Oc3ccccc32)cc1,4,1,Multi-D/A,618.6960000000001,11.438279999999985
AcCYP,CC1(C)c2ccccc2N(c2ccc(-c3ccc(C#N)c(-c4ccc(N5c6ccccc6C(C)(C)c6ccccc65)cc4)n3)cc2)c2ccccc21,2,1,D-A-D,670.8600000000001,12.505479999999979
BCN,CC1(C)c2ccccc2N2c3ccc4cc(C#N)ccc4c3C(C)(C)c3cccc1c32,1,2,A-D-A,400.52500000000015,7.459880000000006
DPPSPF,O=S(=O)(c1ccccc1)c1ccc(-c2ccc3c(c2)C(c2ccccc2)(c2ccccc2)c2ccccc2-3)cc1,0,0,Unknown,534.6800000000002,8.549500000000005
Me2ACBO,CC(C)(c1ccc2c(c1)B1c3ccc(N4c5ccccc5C(C)(C)c5ccccc54)cc3Oc3cccc(c31)O2)c1ccc2c(c1)B1c3ccc(N4c5ccccc5C(C)(C)c5ccccc54)cc3Oc3cccc(c31)O2,2,0,2D-0A,994.8089999999999,13.685899999999974
F2AcBO,CC1(C)c2ccccc2N(c2ccc3c(c2)Oc2cccc4c2B3c2cc(C3(c5ccc6c(c5)B5c7ccc(N8c9ccccc9C(C)(C)c9ccccc98)cc7Oc7cccc(c75)O6)c5ccccc5-c5ccccc53)ccc2O4)c2ccccc21,2,0,2D-0A,1116.935,15.723099999999963
PSPSF,O=S(=O)(c1ccccc1)c1ccc(-c2ccc3c(c2)C2(c4ccccc4-c4ccccc42)c2ccccc2-3)cc1,0,0,Unknown,532.6640000000002,8.529900000000005
TXO-P-Si,O=C1c2ccccc2S(=O)(=O)c2ccc(-c3ccc([Si](c4ccccc4)(c4ccccc4)c4ccccc4)cc3)cc21,0,0,Unknown,578.7650000000002,5.108200000000005
CzB-FMPIM,FC(F)(F)c1ccc(-n2c(-c3ccc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)cc3)nc(-c3ccccc3)c2-c2ccccc2)cc1,1,0,1D-0A,681.7610000000002,12.656199999999977
CzB-FMPPI,FC(F)(F)c1ccc(-n2c(-c3ccc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)cc3)nc3c4ccccc4c4ccccc4c32)cc1,1,0,1D-0A,679.7450000000001,12.78179999999998
BACF,CC1(C)c2ccccc2N(c2ccccc2)c2ccc3cc(F)ccc3c21,1,0,1D-0A,353.44000000000005,7.0880000000000045
BACH,CC1(C)c2ccccc2N(c2ccccc2)c2ccc3ccccc3c21,1,0,1D-0A,335.45000000000005,6.948900000000005
PzTDBA,CC(C)(C)c1ccc2c(c1)B1c3cc(C(C)(C)C)ccc3Oc3cc(N4c5ccccc5N(c5cc6c7c(c5)Oc5ccc(C(C)(C)C)cc5B7c5cc(C(C)(C)C)ccc5O6)c5ccccc54)cc(c31)O2,2,0,2D-0A,942.8179999999998,13.584799999999976
3TCPM,O=C(c1ccccc1)c1ccc(-n2c3ccccc3c3cc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)ccc32)cc1,2,0,2D-0A,590.7260000000002,11.151499999999986
TPA-PPO,c1ccc(-c2nc(-c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)cn3)oc2-c2ccccc2)cc1,1,0,1D-0A,541.6540000000002,10.207399999999993
CzPh-PPO,c1ccc(-c2nc(-c3ccc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)cn3)oc2-c2ccccc2)cc1,1,0,1D-0A,539.6380000000003,9.834699999999994
m-CF3PIBI,FC(F)(F)c1cccc(-n2c(-c3ccc(-c4ccc(-c5ccc(-c6nc7ccccc7n6-c6ccccc6)cc5)cc4)cc3)nc3c4ccccc4c4ccccc4c32)c1,0,0,Unknown,782.869,14.357599999999977
DPTPEA,c1ccc(C(=C(c2ccccc2)c2ccc(N(c3ccccc3)c3ccccc3)cc2)c2ccccc2)cc1,1,0,1D-0A,499.6570000000001,10.163799999999993
PICNAnCz,N#Cc1ccc(-n2c(-c3ccc(-c4c5ccccc5c(Br)c5ccccc45)cc3)nc3c4ccccc4c4ccccc4c32)cc1,0,2,0D-2A,650.5790000000001,11.606479999999983
DPA-DPQ,c1ccc(-c2cc3ncc(N(c4ccccc4)c4ccccc4)nc3cc2-c2ccccc2)cc1,0,1,0D-1A,449.55700000000013,8.433600000000004
PhQLPXZ,c1ccc(-c2cc(-c3ccccc3)c3cc(N4c5ccccc5Oc5ccccc54)ccc3n2)cc1,2,0,2D-0A,462.55200000000013,9.144299999999998
2DPA-DPQ,c1ccc(-c2cc3nc(N(c4ccccc4)c4ccccc4)c(N(c4ccccc4)c4ccccc4)nc3cc2-c2ccccc2)cc1,0,1,0D-1A,616.7680000000001,11.903399999999982
FDQPXZ,Fc1cc2nc(-c3ccccc3)c(-c3ccccc3)nc2cc1N1c2ccccc2Oc2ccccc21,2,1,D-A-D,481.53000000000026,8.678400000000002
DTRZSFX,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc4c(c3)C3(c5ccccc5Oc5ccccc53)c3cc(-c5nc(-c6ccccc6)nc(-c6ccccc6)n5)ccc3-4)n2)cc1,0,2,0D-2A,794.918,12.527399999999979
E-o-DHMPA,OCc1ccccc1-c1c2ccccc2c(-c2ccccc2CO)c2ccccc12,0,0,Unknown,390.48200000000014,6.311600000000006
Z-o-DHMPA,OCc1ccccc1-c1c2ccccc2c(-c2ccccc2CO)c2ccccc12,0,0,Unknown,390.48200000000014,6.311600000000006
p-DHMPA,OCc1ccc(-c2c3ccccc3c(-c3ccc(CO)cc3)c3ccccc23)cc1,0,0,Unknown,390.4820000000001,6.3116000000000065
