molecule,environment,method,S1_overlap,T1_overlap,S1_energy_eV,T1_energy_eV,Delta_E_ST_eV,S1_osc_strength,HOMO_LUMO_gap_eV
2BTCz2CzTPN,gas,stddft,7.87e-08,-6.7e-09,3.176,2.935,0.2410000000000001,0.4538,6.170999999999999
2BTCz2CzTPN,toluene,stda,-1.69e-08,-2.42e-08,2.875,2.568,0.30699999999999994,0.5785,6.071
2BTCz2CzTPN,toluene,stddft,7.5e-09,-5.72e-08,2.829,2.554,0.27500000000000036,0.4998,6.071
2BTPA-INN,gas,stda,-1.35e-08,7.74e-08,3.707,3.183,0.524,1.9904,6.153999999999999
2BTPA-INN,gas,stddft,-9.13e-08,6.64e-08,3.691,3.159,0.532,1.8536,6.153999999999999
2BTPA-INN,toluene,stda,-2.24e-08,4.75e-08,3.633,3.138,0.4950000000000001,1.983,6.032000000000001
2BTPA-INN,toluene,stddft,-9.2e-09,-5.32e-08,3.619,3.115,0.504,1.8661,6.032000000000001
2BrCPT,gas,stda,4.02e-08,3.72e-08,3.815,3.38,0.43500000000000005,0.4898,6.725999999999999
2BrCPT,gas,stddft,7.9e-08,-4.15e-08,3.747,3.357,0.3899999999999997,0.3918,6.725999999999999
2BrCPT,toluene,stda,-1.51e-08,-3.08e-08,3.811,3.365,0.44599999999999973,0.4827,6.76
2BrCPT,toluene,stddft,-1.238e-07,-5.95e-08,3.741,3.342,0.399,0.3833,6.76
2C,gas,stda,-3.25e-08,1.192e-07,3.542,2.682,0.8599999999999999,1.2876,5.928000000000001
2C,gas,stddft,-3.79e-08,-5.96e-08,3.473,2.614,0.859,1.1036,5.928000000000001
2C,toluene,stda,-9.1e-09,-8.96e-08,3.441,2.65,0.7909999999999999,1.2741,5.658000000000001
2C,toluene,stddft,3.28e-08,5.33e-08,3.38,2.585,0.7949999999999999,1.1073,5.658000000000001
2CM,gas,stda,-9.07e-08,7.45e-08,3.565,3.041,0.524,0.0867,7.05
2CM,gas,stddft,5.33e-08,-4.1e-09,3.473,3.015,0.45799999999999974,0.066,7.05
2CM,toluene,stda,1.061e-07,7.83e-08,3.562,3.061,0.5009999999999999,0.155,7.154000000000001
2CM,toluene,stddft,4.2e-09,-1.085e-07,3.473,3.035,0.4379999999999997,0.1188,7.154000000000001
2Cz-DMAC-BTB,gas,stda,1.47e-08,-6.2e-09,3.743,3.362,0.3809999999999998,0.0795,6.068999999999999
2Cz-DMAC-BTB,gas,stddft,-1.96e-08,8.8e-08,3.733,3.333,0.3999999999999999,0.0982,6.068999999999999
2Cz-DMAC-BTB,toluene,stda,2.2e-08,-1.447e-07,3.553,3.358,0.19499999999999984,0.0257,5.874999999999999
2Cz-DMAC-BTB,toluene,stddft,3.4e-09,6.23e-08,3.547,3.329,0.21799999999999997,0.0257,5.874999999999999
2Cz-DMAC-TTR,gas,stda,-1.003e-07,3.24e-08,3.917,3.482,0.4349999999999996,0.4315,7.1530000000000005
2Cz-DMAC-TTR,gas,stddft,-6.35e-08,5.26e-08,3.864,3.46,0.4039999999999999,0.3655,7.1530000000000005
2Cz-DMAC-TTR,toluene,stda,8.9e-09,3.96e-08,3.975,3.404,0.5710000000000002,0.1344,7.07
2Cz-DMAC-TTR,toluene,stddft,-4.6e-09,2.42e-08,3.911,3.383,0.528,0.0418,7.07
2Cz-DMAC-TXO,gas,stda,1.7e-09,-4.6e-09,3.397,2.864,0.5329999999999999,0.0209,5.548000000000001
2Cz-DMAC-TXO,gas,stddft,-2.99e-08,1.08e-08,3.37,2.838,0.532,0.0549,5.548000000000001
2Cz-DMAC-TXO,toluene,stda,3.1e-09,4.64e-08,3.335,2.848,0.4870000000000001,0.015,5.518000000000001
2Cz-DMAC-TXO,toluene,stddft,-4.72e-08,-6.56e-08,3.318,2.821,0.4969999999999999,0.0312,5.518000000000001
2Cz2tCzBn,gas,stda,1.18e-08,7.8e-09,3.409,3.156,0.25299999999999967,0.4382,6.766
2Cz2tCzBn,gas,stddft,-4.1e-09,2.44e-08,3.374,3.145,0.2290000000000001,0.3864,6.766
2Cz2tCzBn,toluene,stda,2.8e-09,-1.066e-07,3.269,2.992,0.27700000000000014,0.4651,6.664
2Cz2tCzBn,toluene,stddft,2.6e-09,-4.57e-08,3.229,2.98,0.2490000000000001,0.4065,6.664
2CzBN,gas,stda,-2e-10,-3.4e-08,3.746,3.409,0.3370000000000002,0.1845,6.992000000000001
2CzBN,gas,stddft,1.53e-08,1.06e-08,3.71,3.388,0.32200000000000006,0.1595,6.992000000000001
2CzBN,toluene,stda,-1.46e-08,6.69e-08,3.683,3.329,0.35399999999999965,0.2305,6.906999999999999
2CzBN,toluene,stddft,-6.88e-08,5.67e-08,3.648,3.309,0.33899999999999997,0.2028,6.906999999999999
2CzCbPy,gas,stda,9.58e-08,2.95e-08,3.724,3.287,0.4370000000000003,0.377,6.8919999999999995
2CzCbPy,gas,stddft,1.93e-08,3.72e-08,3.666,3.266,0.3999999999999999,0.3071,6.8919999999999995
2CzCbPy,toluene,stda,-1.95e-08,-2.05e-08,3.703,3.246,0.45699999999999985,0.3323,6.965000000000001
2CzCbPy,toluene,stddft,-2.38e-08,2.84e-08,3.641,3.224,0.4169999999999998,0.2662,6.965000000000001
2CzMC,gas,stda,-1.174e-07,1.68e-08,3.77,3.204,0.5659999999999998,0.135,7.192
2CzMC,gas,stddft,8.18e-08,4.83e-08,3.708,3.167,0.5410000000000004,0.1216,7.192
2CzMC,toluene,stda,5.04e-08,-3.88e-08,3.686,3.072,0.6139999999999999,0.1907,7.026000000000001
2CzMC,toluene,stddft,1.97e-08,7.66e-08,3.618,3.032,0.5859999999999999,0.1678,7.026000000000001
2CzP-INN,gas,stda,-1.9e-08,-1.9e-09,3.914,3.461,0.4530000000000003,0.7154,6.531
2CzP-INN,gas,stddft,5.3e-09,1.765e-07,3.857,3.439,0.41800000000000015,0.5641,6.531
2CzP-INN,toluene,stda,-7.78e-08,2.33e-08,3.903,3.443,0.45999999999999996,0.6819,6.488
2CzP-INN,toluene,stddft,-9.9e-09,7.1e-08,3.844,3.421,0.42300000000000004,0.5343,6.488
2CzPN,gas,stda,6.07e-08,1.58e-08,3.443,3.123,0.31999999999999984,0.2048,6.535
2CzPN,gas,stddft,1.39e-08,6.16e-08,3.414,3.103,0.31099999999999994,0.182,6.535
2CzPN,toluene,stda,-1.73e-08,-6.63e-08,3.259,2.914,0.34499999999999975,0.245,6.308000000000001
2CzPN,toluene,stddft,-2.9e-09,-1.464e-07,3.226,2.894,0.33199999999999985,0.2156,6.308000000000001
2CzPy,gas,stda,-2.2e-09,2.64e-08,3.902,3.443,0.4590000000000001,0.1724,7.247000000000001
2CzPy,gas,stddft,-6.02e-08,5.51e-08,3.839,3.42,0.41900000000000004,0.1486,7.247000000000001
2CzPy,toluene,stda,8.71e-08,1.474e-07,3.883,3.402,0.48099999999999987,0.1365,7.2010000000000005
2CzPy,toluene,stddft,-8.26e-08,-4.07e-08,3.816,3.378,0.4379999999999997,0.1119,7.2010000000000005
2CzTPE,gas,stda,-4.34e-08,-1.92e-08,3.598,2.881,0.7170000000000001,2.3964,6.469
2CzTPE,gas,stddft,-6.7e-09,1.13e-08,3.559,2.833,0.726,2.0956,6.469
2CzTPE,toluene,stda,-1.429e-07,-2.93e-08,3.614,2.89,0.7239999999999998,2.6157,6.465
2CzTPE,toluene,stddft,-5.26e-08,-5.84e-08,3.574,2.842,0.7319999999999998,2.2891,6.465
2CzTPEPCz,gas,stda,-1.11e-08,7.3e-09,3.861,3.292,0.5690000000000004,1.5194,6.551
2CzTPEPCz,gas,stddft,-4.16e-08,-6.39e-08,3.831,3.254,0.577,1.3309,6.551
2CzTPEPCz,toluene,stda,-3.08e-08,-4e-10,3.848,3.278,0.5699999999999998,1.5521,6.64
2CzTPEPCz,toluene,stddft,-5.1e-09,-3.2e-09,3.81,3.24,0.5699999999999998,1.3307,6.64
2DMAC-BP-F,gas,stda,-2.51e-08,2.8e-09,3.125,2.54,0.585,0.8952,5.703
2DMAC-BP-F,gas,stddft,-6.55e-08,3.59e-08,3.055,2.512,0.5430000000000001,0.7569,5.703
2DMAC-BP-F,toluene,stda,-2.34e-08,-3.6e-08,3.004,2.386,0.6179999999999999,0.9316,5.4830000000000005
2DMAC-BP-F,toluene,stddft,3.42e-08,-1.085e-07,2.929,2.355,0.5739999999999998,0.7792,5.4830000000000005
2DN,gas,stda,1.3e-08,4.49e-08,2.682,2.527,0.1549999999999998,0.0984,5.118
2DN,gas,stddft,3.08e-08,-7.98e-08,2.671,2.51,0.16100000000000003,0.0905,5.118
2DN,toluene,stda,-1.48e-08,-3.83e-08,2.361,1.8,0.5610000000000002,0.1778,5.171000000000001
2DN,toluene,stddft,-1.24e-08,1.32e-08,2.265,1.762,0.5030000000000001,0.1295,5.171000000000001
2DPA-DPQ,gas,stda,9.54e-08,-1.01e-08,3.061,2.431,0.6299999999999999,0.8164,6.303
2DPA-DPQ,gas,stddft,-4.7e-09,-1.6e-09,2.975,2.401,0.5740000000000003,0.6671,6.303
2DPA-DPQ,toluene,stda,-7.3e-09,-1.1e-08,3.053,2.412,0.641,0.8511,6.284000000000001
2DPA-DPQ,toluene,stddft,3.04e-08,-3.9e-09,2.966,2.381,0.5850000000000004,0.6927,6.284000000000001
2F,gas,stda,-1.426e-07,-3.13e-08,3.334,2.884,0.4500000000000002,0.1122,5.271
2F,gas,stddft,7.65e-08,-2.25e-08,3.259,2.864,0.395,0.09,5.271
2F,toluene,stda,7.11e-08,7.46e-08,3.329,2.883,0.4460000000000002,0.1368,5.109
2F,toluene,stddft,1.29e-08,1.34e-08,3.254,2.862,0.3919999999999999,0.1087,5.109
2H-Qz,gas,stda,-6.8e-09,9.37e-08,3.098,2.737,0.36099999999999977,0.0157,5.214
2H-Qz,gas,stddft,2e-09,-2.45e-08,3.06,2.706,0.3540000000000001,0.0133,5.214
2H-Qz,toluene,stda,-3.37e-08,-7.99e-08,3.105,2.741,0.3639999999999999,0.0151,5.188999999999999
2H-Qz,toluene,stddft,-1.97e-08,-4.38e-08,3.066,2.71,0.35599999999999987,0.0127,5.188999999999999
2ICz-OXD,gas,stda,1.42e-08,5.6e-09,3.804,3.4,0.4039999999999999,0.3227,6.329999999999999
2ICz-OXD,gas,stddft,-4.36e-08,-3.52e-08,3.753,3.376,0.3770000000000002,0.2991,6.329999999999999
2ICz-OXD,toluene,stda,-9.84e-08,6.9e-09,3.796,3.371,0.4249999999999998,0.3122,6.217
2ICz-OXD,toluene,stddft,-4.79e-08,4.52e-08,3.744,3.347,0.39700000000000024,0.2901,6.217
2MeCZ-TRZ,gas,stda,4.01e-08,2.85e-08,3.909,3.489,0.41999999999999993,0.6203,6.429999999999999
2MeCZ-TRZ,gas,stddft,-4.67e-08,1.8e-08,3.86,3.466,0.3939999999999997,0.4711,6.429999999999999
2MeCZ-TRZ,toluene,stda,8.7e-09,8.8e-09,3.934,3.488,0.4460000000000002,0.7384,6.456
2MeCZ-TRZ,toluene,stddft,-1.64e-08,-1.15e-08,3.886,3.466,0.41999999999999993,0.576,6.456
2Mi2SB,gas,stda,3.6e-09,5.17e-08,4.695,4.176,0.5190000000000001,0.1294,8.221
2Mi2SB,gas,stddft,-4.1e-09,2.2e-08,4.649,4.149,0.5,0.1174,8.221
2Mi2SB,toluene,stda,7.69e-08,-6.61e-08,4.683,4.115,0.5679999999999996,0.1347,8.175
2Mi2SB,toluene,stddft,4.76e-08,2.83e-08,4.632,4.089,0.5429999999999993,0.1234,8.175
