molecule,environment,method,S1_energy_eV,S1_wavelength_nm,S1_osc_strength,T1_energy_eV,T1_wavelength_nm,Delta_E_ST_eV,HOMO_eV,LUMO_eV,HOMO_LUMO_gap_eV
2CzMC,toluene,stddft,3.618,342.6,0.1678,3.032,408.9,0.5859999999999999,-14.323,-7.297,7.026000000000001
2CzP-INN,gas,stda,3.914,316.8,0.7154,3.461,358.2,0.4530000000000003,-14.253,-7.722,6.531
2CzP-INN,gas,stddft,3.857,321.5,0.5641,3.439,360.5,0.41800000000000015,-14.253,-7.722,6.531
2CzP-INN,toluene,stda,3.903,317.7,0.6819,3.443,360.1,0.45999999999999996,-14.182,-7.694,6.488
2CzP-INN,toluene,stddft,3.844,322.6,0.5343,3.421,362.4,0.42300000000000004,-14.182,-7.694,6.488
2CzPN,gas,stda,3.443,360.1,0.2048,3.123,397.0,0.31999999999999984,-14.461,-7.926,6.535
2CzPN,gas,stddft,3.414,363.2,0.182,3.103,399.5,0.31099999999999994,-14.461,-7.926,6.535
2CzPN,toluene,stda,3.259,380.4,0.245,2.914,425.5,0.34499999999999975,-14.121,-7.813,6.308000000000001
2CzPN,toluene,stddft,3.226,384.3,0.2156,2.894,428.4,0.33199999999999985,-14.121,-7.813,6.308000000000001
2CzPy,gas,stda,3.902,317.8,0.1724,3.443,360.1,0.4590000000000001,-14.217,-6.97,7.247000000000001
2CzPy,gas,stddft,3.839,323.0,0.1486,3.42,362.6,0.41900000000000004,-14.217,-6.97,7.247000000000001
2CzPy,toluene,stda,3.883,319.3,0.1365,3.402,364.5,0.48099999999999987,-14.076,-6.875,7.2010000000000005
2CzPy,toluene,stddft,3.816,324.9,0.1119,3.378,367.1,0.4379999999999997,-14.076,-6.875,7.2010000000000005
2CzTPE,gas,stda,3.598,344.6,2.3964,2.881,430.3,0.7170000000000001,-14.224,-7.755,6.469
2CzTPE,gas,stddft,3.559,348.4,2.0956,2.833,437.6,0.726,-14.224,-7.755,6.469
2CzTPE,toluene,stda,3.614,343.1,2.6157,2.89,429.0,0.7239999999999998,-14.177,-7.712,6.465
2CzTPE,toluene,stddft,3.574,346.9,2.2891,2.842,436.2,0.7319999999999998,-14.177,-7.712,6.465
2CzTPEPCz,gas,stda,3.861,321.1,1.5194,3.292,376.6,0.5690000000000004,-14.122,-7.571,6.551
2CzTPEPCz,gas,stddft,3.831,323.6,1.3309,3.254,381.0,0.577,-14.122,-7.571,6.551
2CzTPEPCz,toluene,stda,3.848,322.2,1.5521,3.278,378.2,0.5699999999999998,-13.994,-7.354,6.64
2CzTPEPCz,toluene,stddft,3.81,325.4,1.3307,3.24,382.6,0.5699999999999998,-13.994,-7.354,6.64
2DMAC-BP-F,gas,stda,3.125,396.8,0.8952,2.54,488.1,0.585,-13.691,-7.988,5.703
2DMAC-BP-F,gas,stddft,3.055,405.9,0.7569,2.512,493.6,0.5430000000000001,-13.691,-7.988,5.703
2DMAC-BP-F,toluene,stda,3.004,412.7,0.9316,2.386,519.6,0.6179999999999999,-13.545,-8.062,5.4830000000000005
2DMAC-BP-F,toluene,stddft,2.929,423.3,0.7792,2.355,526.4,0.5739999999999998,-13.545,-8.062,5.4830000000000005
2DN,gas,stda,2.682,462.3,0.0984,2.527,490.6,0.1549999999999998,-13.72,-8.602,5.118
2DN,gas,stddft,2.671,464.2,0.0905,2.51,494.0,0.16100000000000003,-13.72,-8.602,5.118
2DN,toluene,stda,2.361,525.2,0.1778,1.8,688.8,0.5610000000000002,-13.441,-8.27,5.171000000000001
2DN,toluene,stddft,2.265,547.4,0.1295,1.762,703.8,0.5030000000000001,-13.441,-8.27,5.171000000000001
2DPA-DPQ,gas,stda,3.061,405.0,0.8164,2.431,510.1,0.6299999999999999,-13.696,-7.393,6.303
2DPA-DPQ,gas,stddft,2.975,416.8,0.6671,2.401,516.4,0.5740000000000003,-13.696,-7.393,6.303
2DPA-DPQ,toluene,stda,3.053,406.1,0.8511,2.412,514.0,0.641,-13.525,-7.241,6.284000000000001
2DPA-DPQ,toluene,stddft,2.966,418.0,0.6927,2.381,520.7,0.5850000000000004,-13.525,-7.241,6.284000000000001
2F,gas,stda,3.334,371.9,0.1122,2.884,429.9,0.4500000000000002,-13.222,-7.951,5.271
2F,gas,stddft,3.259,380.4,0.09,2.864,433.0,0.395,-13.222,-7.951,5.271
2F,toluene,stda,3.329,372.4,0.1368,2.883,430.1,0.4460000000000002,-13.071,-7.962,5.109
