molecule,environment,method,S1_overlap,T1_overlap,S1_energy_eV,T1_energy_eV,Delta_E_ST_eV,S1_osc_strength,HOMO_LUMO_gap_eV,Delta_S_NTO,Abs_Delta_S_NTO,Char_diff_squared,S_NTO_sum,S_NTO_product,Log_Abs_S1,Log_Abs_T1,S_NTO_ratio,S1_CT_number,S1_Lambda_D,S1_Lambda_A,S1_hole_on_A,S1_particle_on_D,S1_Delta_r,S1_S_he,T1_CT_number,T1_Lambda_D,T1_Lambda_A,T1_hole_on_A,T1_particle_on_D,T1_Delta_r,T1_S_he,Delta_CT_number,Abs_Delta_CT_number,Delta_Lambda_D,Abs_Delta_Lambda_D,Delta_Lambda_A,Abs_Delta_Lambda_A,Delta_Delta_r,Abs_Delta_Delta_r,Delta_S_he,Abs_Delta_S_he
25CzBPym,toluene,stda,2.39e-08,3.7e-09,3.038,2.891,0.1469999999999998,0.0654,6.001,-2.02e-08,2.02e-08,4.0803999999999997e-16,2.76e-08,8.843e-17,-7.619788758288394,-8.42021640338319,0.1548117154811715,,,,,,,,,,,,,,,,,,,,,,,,
25CzBPym,toluene,stddft,-9.7e-09,-4.02e-08,3.022,2.884,0.1379999999999999,0.0585,6.001,-3.05e-08,3.05e-08,9.3025e-16,-4.9900000000000003e-08,3.8994e-16,-8.008773924307505,-7.394694953858891,4.144329896907217,,,,,,,,,,,,,,,,,,,,,,,,
25DAcBPy,gas,stda,1.32e-08,1.88e-08,3.243,3.11,0.133,0.1461,5.004,5.599999999999999e-09,5.599999999999999e-09,3.135999999999999e-17,3.2e-08,2.4816e-16,-7.876148359032914,-7.723538195826756,1.424242424242424,,,,,,,,,,,,,,,,,,,,,,,,
25DAcBPy,gas,stddft,-2.29e-08,-1.51e-08,3.235,3.103,0.1319999999999996,0.1416,5.004,7.8e-09,7.8e-09,6.084e-17,-3.8e-08,3.4579e-16,-7.638272163982407,-7.818156412055227,0.6593886462882096,,,,,,,,,,,,,,,,,,,,,,,,
25DAcBPy,toluene,stda,1.99e-08,-1.87e-08,3.233,2.561,0.6720000000000002,0.2402,5.25,-3.86e-08,3.86e-08,1.48996e-15,1.2000000000000006e-09,-3.7213e-16,-7.698970004336019,-7.72584215073632,-0.9396984924623116,,,,,,,,,,,,,,,,,,,,,,,,
25DAcBPy,toluene,stddft,-3.5e-08,1.16e-07,3.203,2.524,0.6789999999999998,0.3277,5.25,1.5100000000000004e-07,1.5100000000000004e-07,2.2801000000000004e-14,8.1e-08,-4.060000000000001e-15,-7.454692883534176,-6.935167780261426,-3.314285714285714,,,,,,,,,,,,,,,,,,,,,,,,
25tCzBPym,gas,stda,1.8e-08,1.18e-08,3.097,2.961,0.1360000000000001,0.0614,6.035,-6.199999999999999e-09,6.199999999999999e-09,3.843999999999999e-17,2.98e-08,2.1239999999999999e-16,-7.742321425130815,-7.924453038607469,0.6555555555555556,,,,,,,,,,,,,,,,,,,,,,,,
25tCzBPym,gas,stddft,1.12e-08,-5.06e-08,3.083,2.954,0.129,0.0556,6.035,-6.18e-08,6.18e-08,3.8192399999999985e-15,-3.94e-08,-5.6672e-16,-7.94692155651658,-7.294992040666664,-4.517857142857143,,,,,,,,,,,,,,,,,,,,,,,,
25tCzBPym,toluene,stda,-1.21e-08,-1.112e-07,2.939,2.79,0.149,0.0682,5.8870000000000005,-9.910000000000001e-08,9.910000000000001e-08,9.820810000000002e-15,-1.233e-07,1.3455200000000002e-15,-7.913640169325252,-6.953504835665291,9.1900826446281,,,,,,,,,,,,,,,,,,,,,,,,
25tCzBPym,toluene,stddft,3.28e-08,-1.74e-08,2.923,2.783,0.1400000000000001,0.0612,5.8870000000000005,-5.02e-08,5.02e-08,2.52004e-15,1.5400000000000002e-08,-5.7072e-16,-7.482804102050026,-7.756961951313706,-0.5304878048780487,,,,,,,,,,,,,,,,,,,,,,,,
