Molecule,Environment,Transition,Method,Overlap_1_2,Status
2BTCz2CzTPN,toluene,S0S1,stda,-0.0000000169,Success
2BTCz2CzTPN,toluene,S0S1,stddft,0.0000000075,Success
2BTCz2CzTPN,toluene,S0T1,stda,-0.0000000242,Success
2BTCz2CzTPN,toluene,S0T1,stddft,-0.0000000572,Success
2BTPA-INN,gas,S0S1,stda,-0.0000000135,Success
2BTPA-INN,gas,S0S1,stddft,-0.0000000913,Success
2BTPA-INN,gas,S0T1,stda,0.0000000774,Success
2BTPA-INN,gas,S0T1,stddft,0.0000000664,Success
2BTPA-INN,toluene,S0S1,stda,-0.0000000224,Success
2BTPA-INN,toluene,S0S1,stddft,-0.0000000092,Success
2BTPA-INN,toluene,S0T1,stda,0.0000000475,Success
2BTPA-INN,toluene,S0T1,stddft,-0.0000000532,Success
2C,gas,S0S1,stda,-0.0000000325,Success
2C,gas,S0S1,stddft,-0.0000000379,Success
2C,gas,S0T1,stda,0.0000001192,Success
2C,gas,S0T1,stddft,-0.0000000596,Success
2CM,gas,S0S1,stda,-0.0000000907,Success
2CM,gas,S0S1,stddft,0.0000000533,Success
2CM,gas,S0T1,stda,0.0000000745,Success
2CM,gas,S0T1,stddft,-0.0000000041,Success
2CM,toluene,S0S1,stda,0.0000001061,Success
2CM,toluene,S0S1,stddft,0.0000000042,Success
2CM,toluene,S0T1,stda,0.0000000783,Success
2CM,toluene,S0T1,stddft,-0.0000001085,Success
2C,toluene,S0S1,stda,-0.0000000091,Success
2C,toluene,S0S1,stddft,0.0000000328,Success
2C,toluene,S0T1,stda,-0.0000000896,Success
2C,toluene,S0T1,stddft,0.0000000533,Success
2Cz2tCzBn,gas,S0S1,stda,0.0000000118,Success
2Cz2tCzBn,gas,S0S1,stddft,-0.0000000041,Success
2Cz2tCzBn,gas,S0T1,stda,0.0000000078,Success
2Cz2tCzBn,gas,S0T1,stddft,0.0000000244,Success
2Cz2tCzBn,toluene,S0S1,stda,0.0000000028,Success
2Cz2tCzBn,toluene,S0S1,stddft,0.0000000026,Success
2Cz2tCzBn,toluene,S0T1,stda,-0.0000001066,Success
2Cz2tCzBn,toluene,S0T1,stddft,-0.0000000457,Success
2CzBN,gas,S0S1,stda,-0.0000000002,Success
2CzBN,gas,S0S1,stddft,0.0000000153,Success
2CzBN,gas,S0T1,stda,-0.0000000340,Success
2CzBN,gas,S0T1,stddft,0.0000000106,Success
2CzBN,toluene,S0S1,stda,-0.0000000146,Success
2CzBN,toluene,S0S1,stddft,-0.0000000688,Success
2CzBN,toluene,S0T1,stda,0.0000000669,Success
2CzBN,toluene,S0T1,stddft,0.0000000567,Success
2CzCbPy,gas,S0S1,stda,0.0000000958,Success
2CzCbPy,gas,S0S1,stddft,0.0000000193,Success
2CzCbPy,gas,S0T1,stda,0.0000000295,Success
2CzCbPy,gas,S0T1,stddft,0.0000000372,Success
2CzCbPy,toluene,S0S1,stda,-0.0000000195,Success
2CzCbPy,toluene,S0S1,stddft,-0.0000000238,Success
2CzCbPy,toluene,S0T1,stda,-0.0000000205,Success
2CzCbPy,toluene,S0T1,stddft,0.0000000284,Success
2Cz-DMAC-BTB,gas,S0S1,stda,0.0000000147,Success
2Cz-DMAC-BTB,gas,S0S1,stddft,-0.0000000196,Success
2Cz-DMAC-BTB,gas,S0T1,stda,-0.0000000062,Success
2Cz-DMAC-BTB,gas,S0T1,stddft,0.0000000880,Success
2Cz-DMAC-BTB,toluene,S0S1,stda,0.0000000220,Success
2Cz-DMAC-BTB,toluene,S0S1,stddft,0.0000000034,Success
2Cz-DMAC-BTB,toluene,S0T1,stda,-0.0000001447,Success
2Cz-DMAC-BTB,toluene,S0T1,stddft,0.0000000623,Success
2Cz-DMAC-TTR,gas,S0S1,stda,-0.0000001003,Success
2Cz-DMAC-TTR,gas,S0S1,stddft,-0.0000000635,Success
2Cz-DMAC-TTR,gas,S0T1,stda,0.0000000324,Success
2Cz-DMAC-TTR,gas,S0T1,stddft,0.0000000526,Success
2Cz-DMAC-TTR,toluene,S0S1,stda,0.0000000089,Success
2Cz-DMAC-TTR,toluene,S0S1,stddft,-0.0000000046,Success
2Cz-DMAC-TTR,toluene,S0T1,stda,0.0000000396,Success
2Cz-DMAC-TTR,toluene,S0T1,stddft,0.0000000242,Success
2Cz-DMAC-TXO,gas,S0S1,stda,0.0000000017,Success
2Cz-DMAC-TXO,gas,S0S1,stddft,-0.0000000299,Success
2Cz-DMAC-TXO,gas,S0T1,stda,-0.0000000046,Success
2Cz-DMAC-TXO,gas,S0T1,stddft,0.0000000108,Success
2Cz-DMAC-TXO,toluene,S0S1,stda,0.0000000031,Success
2Cz-DMAC-TXO,toluene,S0S1,stddft,-0.0000000472,Success
2Cz-DMAC-TXO,toluene,S0T1,stda,0.0000000464,Success
2Cz-DMAC-TXO,toluene,S0T1,stddft,-0.0000000656,Success
2CzMC,gas,S0S1,stda,-0.0000001174,Success
2CzMC,gas,S0S1,stddft,0.0000000818,Success
2CzMC,gas,S0T1,stda,0.0000000168,Success
2CzMC,gas,S0T1,stddft,0.0000000483,Success
2CzMC,toluene,S0S1,stda,0.0000000504,Success
2CzMC,toluene,S0S1,stddft,0.0000000197,Success
2CzMC,toluene,S0T1,stda,-0.0000000388,Success
2CzMC,toluene,S0T1,stddft,0.0000000766,Success
2CzP-INN,gas,S0S1,stda,-0.0000000190,Success
2CzP-INN,gas,S0S1,stddft,0.0000000053,Success
2CzP-INN,gas,S0T1,stda,-0.0000000019,Success
2CzP-INN,gas,S0T1,stddft,0.0000001765,Success
2CzP-INN,toluene,S0S1,stda,-0.0000000778,Success
2CzP-INN,toluene,S0S1,stddft,-0.0000000099,Success
2CzP-INN,toluene,S0T1,stda,0.0000000233,Success
2CzP-INN,toluene,S0T1,stddft,0.0000000710,Success
2CzPN,gas,S0S1,stda,0.0000000607,Success
2CzPN,gas,S0S1,stddft,0.0000000139,Success
2CzPN,gas,S0T1,stda,0.0000000158,Success
2CzPN,gas,S0T1,stddft,0.0000000616,Success
2CzPN,toluene,S0S1,stda,-0.0000000173,Success
2CzPN,toluene,S0S1,stddft,-0.0000000029,Success
2CzPN,toluene,S0T1,stda,-0.0000000663,Success
2CzPN,toluene,S0T1,stddft,-0.0000001464,Success
2CzPy,gas,S0S1,stda,-0.0000000022,Success
2CzPy,gas,S0S1,stddft,-0.0000000602,Success
2CzPy,gas,S0T1,stda,0.0000000264,Success
2CzPy,gas,S0T1,stddft,0.0000000551,Success
2CzPy,toluene,S0S1,stda,0.0000000871,Success
2CzPy,toluene,S0S1,stddft,-0.0000000826,Success
2CzPy,toluene,S0T1,stda,0.0000001474,Success
2CzPy,toluene,S0T1,stddft,-0.0000000407,Success
2CzTPE,gas,S0S1,stda,-0.0000000434,Success
2CzTPE,gas,S0S1,stddft,-0.0000000067,Success
2CzTPE,gas,S0T1,stda,-0.0000000192,Success
2CzTPE,gas,S0T1,stddft,0.0000000113,Success
2CzTPEPCz,gas,S0S1,stda,-0.0000000111,Success
2CzTPEPCz,gas,S0S1,stddft,-0.0000000416,Success
2CzTPEPCz,gas,S0T1,stda,0.0000000073,Success
2CzTPEPCz,gas,S0T1,stddft,-0.0000000639,Success
2CzTPEPCz,toluene,S0S1,stda,-0.0000000308,Success
2CzTPEPCz,toluene,S0S1,stddft,-0.0000000051,Success
2CzTPEPCz,toluene,S0T1,stda,-0.0000000004,Success
2CzTPEPCz,toluene,S0T1,stddft,-0.0000000032,Success
2CzTPE,toluene,S0S1,stda,-0.0000001429,Success
2CzTPE,toluene,S0S1,stddft,-0.0000000526,Success
2CzTPE,toluene,S0T1,stda,-0.0000000293,Success
2CzTPE,toluene,S0T1,stddft,-0.0000000584,Success
2DMAC-BP-F,gas,S0S1,stda,-0.0000000251,Success
2DMAC-BP-F,gas,S0S1,stddft,-0.0000000655,Success
2DMAC-BP-F,gas,S0T1,stda,0.0000000028,Success
2DMAC-BP-F,gas,S0T1,stddft,0.0000000359,Success
2DMAC-BP-F,toluene,S0S1,stda,-0.0000000234,Success
2DMAC-BP-F,toluene,S0S1,stddft,0.0000000342,Success
2DMAC-BP-F,toluene,S0T1,stda,-0.0000000360,Success
2DMAC-BP-F,toluene,S0T1,stddft,-0.0000001085,Success
2DN,gas,S0S1,stda,0.0000000130,Success
2DN,gas,S0S1,stddft,0.0000000308,Success
2DN,gas,S0T1,stda,0.0000000449,Success
2DN,gas,S0T1,stddft,-0.0000000798,Success
2DN,toluene,S0S1,stda,-0.0000000148,Success
2DN,toluene,S0S1,stddft,-0.0000000124,Success
2DN,toluene,S0T1,stda,-0.0000000383,Success
2DN,toluene,S0T1,stddft,0.0000000132,Success
2DPA-DPQ,gas,S0S1,stda,0.0000000954,Success
2DPA-DPQ,gas,S0S1,stddft,-0.0000000047,Success
2DPA-DPQ,gas,S0T1,stda,-0.0000000101,Success
2DPA-DPQ,gas,S0T1,stddft,-0.0000000016,Success
2DPA-DPQ,toluene,S0S1,stda,-0.0000000073,Success
2DPA-DPQ,toluene,S0S1,stddft,0.0000000304,Success
2DPA-DPQ,toluene,S0T1,stda,-0.0000000110,Success
2DPA-DPQ,toluene,S0T1,stddft,-0.0000000039,Success
2F,gas,S0S1,stda,-0.0000001426,Success
2F,gas,S0S1,stddft,0.0000000765,Success
2F,gas,S0T1,stda,-0.0000000313,Success
2F,gas,S0T1,stddft,-0.0000000225,Success
2F,toluene,S0S1,stda,0.0000000711,Success
2F,toluene,S0S1,stddft,0.0000000129,Success
2F,toluene,S0T1,stda,0.0000000746,Success
2F,toluene,S0T1,stddft,0.0000000134,Success
2H-Qz,gas,S0S1,stda,-0.0000000068,Success
2H-Qz,gas,S0S1,stddft,0.0000000020,Success
2H-Qz,gas,S0T1,stda,0.0000000937,Success
2H-Qz,gas,S0T1,stddft,-0.0000000245,Success
2H-Qz,toluene,S0S1,stda,-0.0000000337,Success
2H-Qz,toluene,S0S1,stddft,-0.0000000197,Success
2H-Qz,toluene,S0T1,stda,-0.0000000799,Success
2H-Qz,toluene,S0T1,stddft,-0.0000000438,Success
2ICz-OXD,gas,S0S1,stda,0.0000000142,Success
2ICz-OXD,gas,S0S1,stddft,-0.0000000436,Success
2ICz-OXD,gas,S0T1,stda,0.0000000056,Success
2ICz-OXD,gas,S0T1,stddft,-0.0000000352,Success
2ICz-OXD,toluene,S0S1,stda,-0.0000000984,Success
2ICz-OXD,toluene,S0S1,stddft,-0.0000000479,Success
2ICz-OXD,toluene,S0T1,stda,0.0000000069,Success
2ICz-OXD,toluene,S0T1,stddft,0.0000000452,Success
2MeCZ-TRZ,gas,S0S1,stda,0.0000000401,Success
2MeCZ-TRZ,gas,S0S1,stddft,-0.0000000467,Success
2MeCZ-TRZ,gas,S0T1,stda,0.0000000285,Success
2MeCZ-TRZ,gas,S0T1,stddft,0.0000000180,Success
2MeCZ-TRZ,toluene,S0S1,stda,0.0000000087,Success
2MeCZ-TRZ,toluene,S0S1,stddft,-0.0000000164,Success
2MeCZ-TRZ,toluene,S0T1,stda,0.0000000088,Success
2MeCZ-TRZ,toluene,S0T1,stddft,-0.0000000115,Success
2Mi2SB,gas,S0S1,stda,0.0000000036,Success
2Mi2SB,gas,S0S1,stddft,-0.0000000041,Success
2Mi2SB,gas,S0T1,stda,0.0000000517,Success
2Mi2SB,gas,S0T1,stddft,0.0000000220,Success
2Mi2SB,toluene,S0S1,stda,0.0000000769,Success
2Mi2SB,toluene,S0S1,stddft,0.0000000476,Success
2Mi2SB,toluene,S0T1,stda,-0.0000000661,Success
2Mi2SB,toluene,S0T1,stddft,0.0000000283,Success
2PBCzPy,gas,S0S1,stda,0.0000000295,Success
2PBCzPy,gas,S0S1,stddft,-0.0000000567,Success
2PBCzPy,gas,S0T1,stda,-0.0000000078,Success
2PBCzPy,gas,S0T1,stddft,0.0000000258,Success
2PBCzPy,toluene,S0S1,stda,0.0000000027,Success
2PBCzPy,toluene,S0S1,stddft,0.0000000191,Success
2PBCzPy,toluene,S0T1,stda,-0.0000000141,Success
2PBCzPy,toluene,S0T1,stddft,-0.0000000648,Success
2PCzBN,gas,S0S1,stda,0.0000000067,Success
2PCzBN,gas,S0S1,stddft,0.0000000049,Success
2PCzBN,gas,S0T1,stda,0.0000000463,Success
2PCzBN,gas,S0T1,stddft,-0.0000000059,Success
2PCzBN,toluene,S0S1,stda,0.0000000447,Success
2PCzBN,toluene,S0S1,stddft,0.0000000440,Success
2PCzBN,toluene,S0T1,stda,0.0000000322,Success
2PCzBN,toluene,S0T1,stddft,0.0000000461,Success
2PCzBN-tPh,gas,S0S1,stda,0.0000000327,Success
2PCzBN-tPh,gas,S0S1,stddft,-0.0000000315,Success
2PCzBN-tPh,gas,S0T1,stda,-0.0000000014,Success
2PCzBN-tPh,gas,S0T1,stddft,-0.0000000032,Success
2PCzBN-tPh,toluene,S0S1,stda,-0.0000000340,Success
2PCzBN-tPh,toluene,S0S1,stddft,0.0000000335,Success
2PCzBN-tPh,toluene,S0T1,stda,0.0000000532,Success
2PCzBN-tPh,toluene,S0T1,stddft,-0.0000000056,Success
2PN,gas,S0S1,stda,0.0000000276,Success
2PN,gas,S0S1,stddft,0.0000000278,Success
2PN,gas,S0T1,stda,-0.0000000431,Success
2PN,gas,S0T1,stddft,0.0000000194,Success
2PN,toluene,S0S1,stda,0.0000000414,Success
2PN,toluene,S0S1,stddft,-0.0000000237,Success
2PN,toluene,S0T1,stda,-0.0000000583,Success
2PN,toluene,S0T1,stddft,0.0000000024,Success
2PS-2FPh,gas,S0S1,stda,-0.0000000421,Success
2PS-2FPh,gas,S0S1,stddft,-0.0000000386,Success
2PS-2FPh,gas,S0T1,stda,-0.0000000191,Success
2PS-2FPh,gas,S0T1,stddft,-0.0000000485,Success
2PS-2FPh,toluene,S0S1,stda,-0.0000000568,Success
