molecule,Delta_E_ST_eV,S1_energy_eV,T1_energy_eV,S1_S_he,T1_S_he,Delta_S_he,Abs_Delta_S_he,S1_CT_number,T1_CT_number,Delta_CT_number,Abs_Delta_CT_number,S1_Lambda_D,S1_Lambda_A,T1_Lambda_D,T1_Lambda_A,Delta_Lambda_D,Abs_Delta_Lambda_D,Delta_Lambda_A,Abs_Delta_Lambda_A,S1_Delta_r,T1_Delta_r,Delta_Delta_r,Abs_Delta_Delta_r,S1_hole_on_A,S1_particle_on_D,T1_hole_on_A,T1_particle_on_D,Char_diff_squared,S_NTO_sum,S_NTO_product,S_NTO_ratio,S1_osc_strength,HOMO_LUMO_gap_eV,Delta_S_NTO,Abs_Delta_S_NTO,Log_Abs_S1,Log_Abs_T1,S1_overlap,T1_overlap
2DN,0.1549999999999998,-0.5247806520790806,0.32743159735599014,-0.020817460112080605,-0.01650634096108846,0.0,-0.014416955003280042,0.0,0.0,-0.00720047993609281,0.0,0.0,0.0,0.0,-0.007793909369988528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009236239201029648,-0.00546762990094074,0.0,0.0,0.0,-0.02004818231669199,0.0,0.0,0.0,0.0,0.0,0.0
2DPA-DPQ,0.6299999999999999,-0.3030694137621,0.44959167265330297,0.007904552930531538,0.006209283870059517,0.0,0.0,0.0010655622782205498,0.0,0.0,0.0,0.0,0.0,0.0,0.0025504937359007436,0.0,0.0020975777469558064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015378681124719184,0.0,0.0,0.0,0.0,0.015205487522934307,0.0,0.0,0.0,0.007816796769714876,0.0,0.0,0.0
2F,0.4500000000000002,-0.07434264813076809,0.07254669604167716,0.0,-0.017447396323017006,-0.008663644592880045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006436082195687657,0.0,0.006117216160128142,0.0,0.0,0.0,0.0,0.0,-0.005192639810457902,0.0,0.0,0.0,0.0,-0.011031536712539775,0.0,0.0,0.010287417878264545,0.0,0.007162396183637218,0.0
2H-Qz,0.3609999999999997,-0.2688654425423834,0.206246633615935,0.0,0.0,-0.0032001766677550725,0.0,0.0,-0.0017210258826377252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019597915689909757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009434574365718151,0.0,0.0,-0.004016086829153731,0.0,-0.006575240468384537,-0.021272757814030128,0.0,0.0,0.0,0.0,-0.0009212650807273932,0.0
2ICz-OXD,0.4039999999999999,0.23816228818714447,-0.28009638058237246,-0.000573152320265975,-0.003552537550772626,0.0,0.002245365631089005,0.0,0.0,0.0,0.005954118108968705,0.0,0.0,0.0,0.0,0.0,0.0030660526989633244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001831718444086178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034485883807355137,-0.0025361643472915597,0.0
2MeCZ-TRZ,0.4199999999999999,0.15749061512132337,-0.17346711548790464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026990299590627584,0.0,0.0,0.0,-0.006551368558205964,0.0,-0.00209951065937456,-0.005556322309378414,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007727615160482928,0.0,0.0,-0.0018528461955699762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034448354668947146,-0.005101675095826927,0.0
2Mi2SB,0.5190000000000001,0.7928816807941689,-0.7836949286677303,0.003124170712315279,0.007917930030181259,0.008209105202863167,0.0,0.0,0.0,0.0,0.0,0.00843110131765328,0.004636493128734175,0.0,0.0,0.0026006247672856514,0.0,0.0,0.0,0.0,0.0023615817251390015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008082595177006142,0.0,0.0,0.0
2PBCzPy,0.4889999999999999,0.36258417188733255,-0.3497448781458986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030173359978796573,0.0,0.0,0.0,0.0,0.0031452126928536582,0.0,0.0,0.0,0.003108044995443265,-0.0037722196170537807,0.0,0.002818278073843484,0.0,0.0,0.0,0.0,0.0,-0.006448262859213864,0.006583138264344942,0.0,0.0,0.004060362927895791,0.0,0.0,0.0
2PCzBN,0.4059999999999997,0.2830131864181319,-0.3357739130489247,0.0,-0.005222778279101543,-0.003959558892801227,0.009888340422952788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003454260601660111,0.0,0.0,0.003003847354297199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004705506780027756,-0.002600325262027243,0.0,0.0,0.0,0.007505446159234975,0.0,0.0,0.0,0.0,0.0,0.0
2PCzBN-tPh,0.3199999999999998,0.21216206795852635,-0.3186213004381294,0.0,-0.004043045309675547,0.0,0.005845281965392299,0.0043846511227707795,0.0,0.0,0.0,0.0,0.0,-0.0012182375708136017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022377312541791423,0.0,-0.0032405298241665673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012857939671485711,-0.003750195584908953,0.0
