molecule_id,SMILES_canonical,pred_delta_EST_eV,PI_low_eV,PI_high_eV,MW,n_aromatic_rings
MOL_021369,Cc1c(Cl)ccc2c1NC(=O)[C@]21C(C#N)=C(N)N(c2ccc(F)cc2F)C2=C1C(=O)CCC2,0.052,-0.126,0.23,466.88,2.0
MOL_008345,Cc1cc(F)cc2c(=O)c3ccccc3[nH]c12,0.052,-0.126,0.23,227.24,3.0
MOL_016679,O=C(C[C@@H]1C(=O)N(c2ccc(Cl)cc2)C(=S)N1CCc1ccncc1)Nc1ccc(F)cc1,0.052,-0.126,0.23,482.97,3.0
MOL_015527,N#C/C(C(=O)NCc1ccco1)=C1/S[C@@H](Cc2cc(Cl)ccc2Cl)C(=O)N1c1ccc(Br)cc1,0.052,-0.126,0.229,577.29,3.0
MOL_015526,N#C/C(C(=O)NCc1ccco1)=C1/S[C@H](Cc2cc(Cl)ccc2Cl)C(=O)N1c1ccc(Br)cc1,0.052,-0.126,0.229,577.29,3.0
MOL_013349,Cc1cc(C)nc(NC2=NCC(=O)N2c2ccc(Cl)cc2Cl)n1,0.052,-0.126,0.23,350.21,2.0
MOL_004766,O=C(COC(=O)c1cccc2c(=O)c3ccccc3[nH]c12)Nc1ccc(Cl)cc1,0.052,-0.126,0.23,406.83,4.0
MOL_021818,O=C(C[C@H]1C(=O)N(c2ccc(Cl)cc2)C(=S)N1CCc1ccncc1)Nc1ccc(F)cc1,0.052,-0.126,0.23,482.97,3.0
MOL_004703,Cc1cc2c(=O)c3ccccc3[nH]c2c(C(N)=O)c1C,0.053,-0.125,0.231,266.3,3.0
MOL_010348,CN(C)c1ccc(/C=C(\C#N)c2ccc(Cl)cc2Cl)cc1,0.053,-0.125,0.231,317.22,2.0
MOL_010349,CN(C)c1ccc(/C=C(/C#N)c2ccc(Cl)cc2Cl)cc1,0.053,-0.125,0.231,317.22,2.0
MOL_016666,O=C(C[C@@]1(O)C(=O)N(Cc2ccc(Cl)cc2)c2ccc(Cl)cc21)c1cccnc1,0.053,-0.125,0.231,427.29,3.0
MOL_004409,CN(C)c1ccc(C=C(C#N)c2ccc(Cl)cc2Cl)cc1,0.053,-0.125,0.231,317.22,2.0
MOL_016665,O=C(C[C@]1(O)C(=O)N(Cc2ccc(Cl)cc2)c2ccc(Cl)cc21)c1cccnc1,0.053,-0.125,0.231,427.29,3.0
MOL_021333,Cc1c(Cl)ccc2c1NC(=O)[C@@]21C(C#N)=C(N)N(c2ccccc2F)C2=C1C(=O)CCC2,0.053,-0.125,0.231,448.89,2.0
MOL_021332,Cc1c(Cl)ccc2c1NC(=O)[C@]21C(C#N)=C(N)N(c2ccccc2F)C2=C1C(=O)CCC2,0.053,-0.125,0.231,448.89,2.0
MOL_008995,N#C/C(C(=O)NCc1ccco1)=C1/SC(Cc2ccc(Cl)cc2)C(=O)N1c1ccccc1,0.053,-0.125,0.231,463.95,3.0
MOL_005979,O=c1c2ccccc2[nH]c2cc(Cl)ccc12,0.053,-0.125,0.231,229.67,3.0
MOL_004681,Cc1cc2c(=O)c3ccccc3[nH]c2c(C(=O)O)c1C,0.053,-0.125,0.231,267.28,3.0
MOL_007317,CN1CCN(c2c(Cl)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC1,0.053,-0.125,0.231,379.82,2.0
MOL_009179,Cc1ccc(Nc2nc(N)nc(CN3CCN(c4ccccc4)CC3)n2)cc1Cl,0.053,-0.125,0.231,409.93,3.0
