molecule,heavy_atoms,atoms_with_H,exp_dEST_eV,sTDA_dEST_eV,S1_eV,T1_eV,dEST_eV,states_parsed,terminated_normally,wall_seconds,retained_bytes,smiles
3Py-DMAC,44,70,0.04,0.1359999999999996,4.559,3.338,1.221,True,True,812.9,354649,CC1(C)c2ccccc2N(c2ccc(-c3c(C#N)c(-c4cccnc4)nc(-c4cccnc4)c3C#N)cc2)c2ccccc21
3-AcBPtCN,44,66,0.13,0.1899999999999999,3.618,2.815,0.803,True,True,723.8,255470,CC1(C)c2ccccc2N(c2ccc3c(c2)c2cc(C#N)ccc2c2nc4cc(C#N)c(C#N)cc4nc32)c2ccccc21
DIC-TRZ,44,69,0.06,0.4610000000000003,4.277,3.377,0.9,True,True,877.2,422538,c1ccc(-c2nc(-c3ccccc3)nc(-n3c4ccccc4c4ccc5c6ccccc6n(-c6ccccc6)c5c43)n2)cc1
3-DPM,44,72,0.1,0.2710000000000003,3.78,2.833,0.947,True,True,717.8,607909,N#CC(C#N)=C(c1cccc(N(c2ccccc2)c2ccccc2)c1)c1cccc(N(c2ccccc2)c2ccccc2)c1
TPSi-F,44,76,0.1,0.8300000000000001,5.064,3.574,1.49,True,True,912.0,280855,c1ccc(C2(c3ccc([Si](c4ccccc4)(c4ccccc4)c4ccccc4)cc3)c3ccccc3-c3ccccc32)cc1
UGH3,44,78,0.22,-0.0020000000000006,5.504,4.187,1.317,True,True,925.7,434748,c1ccc([Si](c2ccccc2)(c2ccccc2)c2cccc([Si](c3ccccc3)(c3ccccc3)c3ccccc3)c2)cc1
BTPBFCz,45,68,0.09,0.4489999999999998,4.29,3.503,0.787,True,True,1077.8,527974,c1ccc(-c2nc(-c3ccccc3-n3c4ccccc4c4c5oc6ccccc6c5ccc43)c3sc4ccccc4c3n2)cc1
DMBFTX,45,77,0.28,0.6709999999999998,4.039,3.35,0.689,True,True,723.8,328225,CC1(C)c2ccccc2-c2cccc(-c3ccc4sc5ccc(-c6cccc7c6C(C)(C)c6ccccc6-7)cc5c(=O)c4c3)c21
2PXZ-OXD,45,69,0.23,0.2870000000000003,3.987,3.274,0.713,True,True,649.7,269225,c1ccc2c(c1)Oc1ccccc1N2c1ccc(-c2nnc(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)o2)cc1
DMIC-TRZ,46,78,0.056,0.673,2.355,1.039,1.316,True,True,859.7,282456,CC1(C)CC(c2cccc(-c3nc(-c4ccccc4)nc(-c4ccccc4)n3)c2)C=c2[nH]c3cc4c(cc3c21)-c1ccccc1C=4
CzPm,46,71,0.18000000000000002,0.4720000000000004,4.279,3.387,0.892,True,True,862.1,439264,N#Cc1c(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)ncnc1-c1ccc(-n2c3ccccc3c3ccccc32)cc1
BTCZPZ1,46,68,0.24,0.379,4.112,3.377,0.735,True,True,771.9,305667,c1ccc2c(c1)sc1c2ccc2c3ccccc3n(-c3cnc(-n4c5ccccc5c5ccc6c7ccccc7sc6c54)cn3)c21
DMAC-FO,46,80,0.14,0.201,3.533,2.983,0.55,True,True,1002.6,267672,CC1(C)c2ccccc2N(c2ccc3c(c2)-c2cc(N4c5ccccc5C(C)(C)c5ccccc54)ccc2C3=O)c2ccccc21
BFCZPZ2,46,68,0.31,0.423,4.028,3.272,0.756,True,True,663.0,299900,c1ccc2c(c1)oc1c2ccc2c1c1ccccc1n2-c1cnc(-n2c3ccccc3c3c4oc5ccccc5c4ccc32)cn1
pDPAPQ-PXZ,46,69,0.06,0.2449999999999998,3.246,2.61,0.636,True,True,662.0,523071,c1ccc2c(c1)Oc1ccccc1N2c1ccc2c3c(cccc13)-c1nc3cc(-c4ccncc4)c(-c4ccncc4)cc3nc1-2
TPAPm,46,75,0.32,0.6310000000000002,3.942,3.101,0.841,True,True,764.6,448812,N#Cc1c(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)ncnc1-c1ccc(N(c2ccccc2)c2ccccc2)cc1
BFCZPZ1,46,68,0.37,0.407,4.21,3.381,0.829,True,True,788.0,288544,c1ccc2c(c1)oc1c2ccc2c3ccccc3n(-c3cnc(-n4c5ccccc5c5ccc6c7ccccc7oc6c54)cn3)c21
3TCPM,46,76,0.26,0.3920000000000003,4.004,3.385,0.619,True,True,850.1,341001,O=C(c1ccccc1)c1ccc(-n2c3ccccc3c3cc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)ccc32)cc1
BPCN-2Cz,46,73,0.22,0.4780000000000002,4.574,3.594,0.98,True,True,699.3,394987,N#Cc1ccccc1-c1ccc(-n2c3ccccc3c3cc(-c4ccc5c(c4)c4ccccc4n5-c4ccccc4)ccc32)cc1
TCz1,47,86,0.058,0.4679999999999999,4.36,3.547,0.813,True,True,697.2,417078,CCCCC(CC)Cn1c2ccc(-n3c4ccccc4c4ccccc43)cc2c2cc(-n3c4ccccc4c4ccccc43)ccc21
TCZ1,47,86,0.016,0.4670000000000001,4.36,3.547,0.813,True,True,705.2,417086,CCCCC(CC)Cn1c2ccc(-n3c4ccccc4c4ccccc43)cc2c2cc(-n3c4ccccc4c4ccccc43)ccc21
3CzBN,47,73,0.33,0.4479999999999999,4.36,3.518,0.842,True,True,896.7,316747,N#Cc1c(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)cc1-n1c2ccccc2c2ccccc21
DMAC-DPS,47,83,0.09,0.492,4.323,3.769,0.554,True,True,749.0,343751,CC1(C)c2ccccc2N(c2ccc(S(=O)(=O)c3ccc(N4c5ccccc5C(C)(C)c5ccccc54)cc3)cc2)c2ccccc21
PPO21,47,78,0.00064,0.4289999999999998,4.706,3.697,1.009,True,True,962.7,376317,O=P(c1ccccc1)(c1ccccc1)c1ccc(-n2c3ccccc3c3cc(P(=O)(c4ccccc4)c4ccccc4)ccc32)cc1
PxCN,48,74,0.02,0.383,4.05,3.359,0.691,True,True,822.3,451897,N#Cc1c(-c2ccc(N3c4ccccc4Oc4ccccc43)cc2)cncc1-c1ccc(N2c3ccccc3Oc3ccccc32)cc1
PxCYP,48,74,0.2,0.3340000000000001,3.804,3.105,0.699,True,True,778.3,397686,N#Cc1ccc(-c2ccc(N3c4ccccc4Oc4ccccc43)cc2)nc1-c1ccc(N2c3ccccc3Oc3ccccc32)cc1
p-DTPACO,48,80,0.05,0.5840000000000001,3.983,3.207,0.776,True,True,708.0,507699,O=C(c1ccc(C(=O)c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1)c1ccc(N(c2ccccc2)c2ccccc2)cc1
ICBNTrz4,48,77,0.1,0.3409999999999997,4.085,3.341,0.744,True,True,913.3,307831,CC1(C)c2ccccc2-c2cc3c4ccccc4n(-c4ccc(-c5nc(-c6ccccc6)nc(-c6ccccc6)n5)cc4C#N)c3cc21
mTPA–PPI,48,79,0.76,0.3620000000000001,4.419,3.291,1.128,True,True,888.3,587438,c1ccc(N(c2ccccc2)c2ccc(-c3cccc(-c4nc5c6ccccc6c6ccccc6c5n4-c4ccccc4)c3)cc2)cc1
m-DTPACO,48,80,0.21,0.427,4.03,3.198,0.832,True,True,785.4,339170,O=C(c1ccc(N(c2ccccc2)c2ccccc2)cc1)c1cccc(C(=O)c2ccc(N(c3ccccc3)c3ccccc3)cc2)c1
pDPBPZ-PXZ,48,73,0.06,0.2279999999999997,3.716,2.841,0.875,True,True,844.1,544887,c1ccc2c(c1)Oc1ccccc1N2c1ccc2c(c1)c1ccccc1c1nc3cc(-c4ccncc4)c(-c4ccncc4)cc3nc21
B4PyPPM,48,76,0.035,0.0459999999999993,4.539,3.555,0.984,True,True,800.5,338562,c1ccc(-c2nc(-c3cc(-c4ccncc4)cc(-c4ccncc4)c3)cc(-c3cc(-c4ccncc4)cc(-c4ccncc4)c3)n2)cc1
DC-ACR,48,84,0.01,0.0070000000000001,3.508,2.991,0.517,True,True,984.3,469376,CC1(C)c2ccccc2N(c2ccc(C(=O)C(=O)c3ccc(N4c5ccccc5C(C)(C)c5ccccc54)cc3)cc2)c2ccccc21
DCz-DPPZ,48,72,0.19,0.367,3.796,2.817,0.979,True,True,989.2,395891,c1cnc2c(c1)c1nc3cc(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)cc3nc1c1cccnc12
2H-Qz,48,75,0.11,0.3609999999999997,4.032,3.087,0.945,True,True,837.7,498549,c1ccc(-c2cc(-c3ccccn3)cc(-c3nc(-c4ccc(N5c6ccccc6Oc6ccccc65)cc4)c4ccccc4n3)c2)nc1
t-DABNA,49,102,0.16,0.4889999999999999,3.923,3.181,0.742,True,True,1205.1,977686,CC(C)(C)c1ccc(N2c3ccc(C(C)(C)C)cc3B3c4cc(C(C)(C)C)ccc4N(c4ccc(C(C)(C)C)cc4)c4cccc2c43)cc1
NIDPA-1,49,80,0.6,0.4830000000000001,3.726,2.678,1.048,True,True,968.4,439773,c1ccc(N(c2ccccc2)c2ccc3c(c2)cc2c4cccc(N(c5ccccc5)c5ccccc5)c4n4c5ccccc5c3c24)cc1
PPZPPI,49,79,0.11,0.2370000000000001,3.771,3.008,0.763,True,True,933.6,410916,c1ccc(N2c3ccccc3N(c3ccc(-c4nc5c6ccccc6c6ccccc6c5n4-c4ccccc4)cc3)c3ccccc32)cc1
DDMA-TXO2,50,90,0.14,0.6760000000000002,4.492,3.77,0.722,True,True,962.3,315430,CC1(C)c2ccccc2N(c2ccc3c(c2)C(C)(C)c2cc(N4c5ccccc5C(C)(C)c5ccccc54)ccc2S3(=O)=O)c2ccccc21
26DPXZBPy,50,77,0.04,0.3189999999999999,3.764,3.173,0.591,True,True,1321.2,613206,O=C(c1ccc(N2c3ccccc3Oc3ccccc32)cc1)c1cccc(C(=O)c2ccc(N3c4ccccc4Oc4ccccc43)cc2)n1
TRZ-pIC,50,79,0.29,0.5009999999999999,4.12,3.241,0.879,True,True,917.9,293424,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(-n4c5ccccc5c5cc6c(cc54)c4ccccc4n6-c4ccccc4)cc3)n2)cc1
2PXZP,50,78,0.13,0.3349999999999999,3.859,3.116,0.743,True,True,789.1,342902,Cn1cnc2c(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)nc(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)nc21
2CzBN,50,101,0.55,0.3370000000000002,4.304,3.66,0.644,True,True,910.5,568533,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1cccc(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c1C#N
B-dpa-SpiroAC,50,85,0.14,0.447,3.843,3.188,0.655,True,True,1152.2,783968,CC(C)(C)c1cc2c3c(c1)N1c4ccccc4C4(c5ccccc5-c5ccccc54)c4cccc(c41)B3c1ccccc1N2c1ccccc1
PTZ-DCPP,50,72,0.18,0.5269999999999997,3.582,3.17,0.412,True,True,751.5,261651,N#Cc1nc2c3ccc(N4c5ccccc5Sc5ccccc54)cc3c3cc(N4c5ccccc5Sc5ccccc54)ccc3c2nc1C#N
NyDPO,50,78,0.09,0.3049999999999997,4.149,3.224,0.925,True,True,747.7,278177,c1ccc2c(c1)Oc1ccccc1N2c1ccc(-c2ccc3nc(-c4ccc(N5c6ccccc6Oc6ccccc65)cc4)ccc3n2)cc1
