molecule_id,SMILES_canonical,source,MW,MW,LogP,n_aromatic_rings,n_aromatic_rings,n_heteroatoms,n_heteroatoms,n_rotatable_bonds,n_rotatable_bonds,n_hbd,n_hba,tpsa,n_rings,n_atoms
MOL_000062,c1ccc2c(c1)ccc1cc3ccc4ccccc4c3nc12,PubChem_filtered,279.34,279.34,5.69,5.0,5,1.0,1,0.0,0,0,1,12.89,5,22
MOL_000063,c1ccc2nc3ccc4ccccc4c3cc2c1,PubChem_filtered,229.28,229.28,4.54,4.0,4,1.0,1,0.0,0,0,1,12.89,4,18
MOL_000064,c1ccc2nc3c(ccc4ccccc43)cc2c1,PubChem_filtered,229.28,229.28,4.54,4.0,4,1.0,1,0.0,0,0,1,12.89,4,18
MOL_000065,c1ccc2c(c1)ccc1nc3c(ccc4ccccc43)cc12,PubChem_filtered,279.34,279.34,5.69,5.0,5,1.0,1,0.0,0,0,1,12.89,5,22
MOL_000066,c1ccc2nc3ccccc3cc2c1,PubChem_filtered,179.22,179.22,3.39,3.0,3,1.0,1,0.0,0,0,1,12.89,3,14
MOL_000067,CCN(CC)CCCC(C)Nc1c2cc(Cl)ccc2nc2ccc(OC)cc12.CS(=O)(=O)O.CS(=O)(=O)O,PubChem_filtered,592.18,592.18,4.98,3.0,3,12.0,12,9.0,9,3,8,146.13,3,38
MOL_000068,CCN(CC)CCCC(C)Nc1c2cc(Cl)ccc2nc2ccc(OC)cc12,PubChem_filtered,399.97,399.97,5.97,3.0,3,4.0,4,9.0,9,1,4,37.39,3,28
MOL_000069,Cc1c2cccc(F)c2nc2c1ccc1ccccc12,PubChem_filtered,261.3,261.3,4.99,4.0,4,1.0,1,0.0,0,0,1,12.89,4,20
MOL_000070,Cc1cc2c(-c3ccccc3)c3cc(C)c(N)cc3nc2cc1N,PubChem_filtered,313.4,313.4,4.84,4.0,4,3.0,3,1.0,1,2,3,64.93,4,24
MOL_000071,Nc1ccc(-c2c3ccccc3nc3cc(N)ccc23)cc1,PubChem_filtered,285.35,285.35,4.22,4.0,4,3.0,3,1.0,1,2,3,64.93,4,22
MOL_000072,Cl.O=c1[nH]c2ccccc2c(=O)n1CCCN1CCN(c2cccc(Cl)c2)CC1,PubChem_filtered,435.36,435.36,2.98,3.0,3,6.0,6,5.0,5,1,4,61.34,4,29
MOL_000073,O=c1[nH]c2ccccc2c(=O)n1CCCN1CCN(c2cccc(Cl)c2)CC1,PubChem_filtered,398.89,398.89,2.56,3.0,3,6.0,6,5.0,5,1,4,61.34,4,28
MOL_000074,CN(Cc1cnc2nc(N)nc(N)c2n1)c1c(Cl)cc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1Cl,PubChem_filtered,523.34,523.34,1.58,3.0,3,13.0,13,9.0,9,5,10,210.54,3,35
MOL_000075,Cl.Cl.Nc1ccc2cc3ccc(N)cc3nc2c1,PubChem_filtered,282.17,282.17,3.4,3.0,3,3.0,3,0.0,0,2,3,64.93,3,18
MOL_000076,Cc1cc2nc3ccc(N(C)C)cc3nc2cc1N.Cl,PubChem_filtered,288.78,288.78,3.16,3.0,3,4.0,4,1.0,1,1,4,55.04,3,20
MOL_000077,Cc1cc2nc3ccc(N(C)C)cc3nc2cc1N,PubChem_filtered,252.32,252.32,2.74,3.0,3,4.0,4,1.0,1,1,4,55.04,3,19
MOL_000078,Nc1ccc2cc3ccc(N)cc3nc2c1.O=S(=O)(O)O,PubChem_filtered,307.33,307.33,1.9,3.0,3,8.0,8,0.0,0,4,5,139.53,3,21
MOL_000079,Nc1cccc2nc3ccccc3cc12,PubChem_filtered,194.24,194.24,2.97,3.0,3,2.0,2,0.0,0,1,2,38.91,3,15
MOL_000080,Nc1cccc2cc3ccccc3nc12,PubChem_filtered,194.24,194.24,2.97,3.0,3,2.0,2,0.0,0,1,2,38.91,3,15
MOL_000081,Nc1ccc2nc3ccccc3cc2c1,PubChem_filtered,194.24,194.24,2.97,3.0,3,2.0,2,0.0,0,1,2,38.91,3,15
MOL_000082,Nc1ccc2cc3ccccc3nc2c1,PubChem_filtered,194.24,194.24,2.97,3.0,3,2.0,2,0.0,0,1,2,38.91,3,15
MOL_000083,Cc1cccc2cc3ccccc3nc12,PubChem_filtered,193.25,193.25,3.7,3.0,3,1.0,1,0.0,0,0,1,12.89,3,15
MOL_000084,Cc1c2ccccc2nc2ccccc12,PubChem_filtered,193.25,193.25,3.7,3.0,3,1.0,1,0.0,0,0,1,12.89,3,15
MOL_000085,Cc1ccc2nc3ccccc3cc2c1,PubChem_filtered,193.25,193.25,3.7,3.0,3,1.0,1,0.0,0,0,1,12.89,3,15
MOL_000086,C[n+]1c2ccc(N)cc2cc2cc(N)ccc21,PubChem_filtered,224.29,224.29,1.98,3.0,3,3.0,3,0.0,0,2,2,55.92,3,17
MOL_000087,CN(C)c1ccc(C=Cc2ccnc3ccccc23)cc1,PubChem_filtered,274.37,274.37,4.47,3.0,3,2.0,2,3.0,3,0,2,16.13,3,21
