molecule_id,SMILES_canonical,source,MW,MW.1,LogP,n_aromatic_rings,n_aromatic_rings.1,n_heteroatoms,n_heteroatoms.1,n_rotatable_bonds,n_rotatable_bonds.1,n_hbd,n_hba,tpsa,n_rings,n_atoms,predicted_delta_e,tadf_score,selected_for_detailed_calc
MOL_005142,CN(C)CCNc1ccc([N+](=O)[O-])c2nc3ccccc3c(N)c12,PubChem_filtered,325.37,325.37,2.85,3.0,3,7.0,7,5.0,5,2,6,97.32,3,24,0.12449199999999999,0.93877,True
MOL_003498,O=c1c2ccccc2[nH]c2cc([N+](=O)[O-])cc([N+](=O)[O-])c12,PubChem_filtered,285.22,285.22,2.5,3.0,3,8.0,8,2.0,2,1,5,119.14,3,21,0.12460914285714286,0.9384771428571428,True
MOL_006362,COc1ccc2nc3c([N+](=O)[O-])ccc4c3c(c2c1)NCCN4C,PubChem_filtered,324.34,324.34,3.17,3.0,3,7.0,7,2.0,2,1,6,80.53,4,24,0.12471542857142853,0.9382114285714286,True
MOL_009937,OCCN(C(=S)Nc1ccc2nccnc2c1)c1ccccc1,PubChem_filtered,324.41,324.41,2.83,3.0,3,6.0,6,4.0,4,2,4,61.28,3,23,0.12472742857142854,0.9381814285714286,True
MOL_021891,CCOc1nc(N)nc(N(c2ccccc2)c2ccccc2)n1,PubChem_filtered,307.36,307.36,3.32,3.0,3,6.0,6,5.0,5,1,6,77.16,3,23,0.12480457142857143,0.9379885714285714,True
MOL_009958,O=C(Nc1ccc2nsnc2c1)N1CCN(c2ccccc2)CC1,PubChem_filtered,339.42,339.42,3.05,3.0,3,7.0,7,2.0,2,1,5,61.36,4,24,0.12490057142857136,0.9377485714285715,True
MOL_004546,[N-]=[N+]=NCC(O)COc1c2ccccc2nc2ccccc12,PubChem_filtered,294.31,294.31,3.44,3.0,3,6.0,6,5.0,5,1,4,91.11,3,22,0.12496742857142856,0.9375814285714286,True
MOL_005268,COc1ccc2nc3cc([N+](=O)[O-])ccc3c(NCCO)c2c1,PubChem_filtered,313.31,313.31,2.71,3.0,3,7.0,7,5.0,5,2,6,97.52,3,23,0.1252245714285714,0.9369385714285714,True
MOL_005177,COc1ccc2nc3cccc([N+](=O)[O-])c3c(NCCO)c2c1,PubChem_filtered,313.31,313.31,2.71,3.0,3,7.0,7,5.0,5,2,6,97.52,3,23,0.1252245714285714,0.9369385714285714,True
MOL_004489,O=c1[nH]cnc(O)c1C=NN(c1ccccc1)c1ccccc1,PubChem_filtered,306.33,306.32,2.65,3.0,3,6.0,6,4.0,4,2,5,81.58,3,23,0.12522799999999995,0.93693,True
MOL_008519,CCOc1c(OC)c2c(c3c1c(=O)c1ccccc1n3C)OCO2,PubChem_filtered,327.34,327.34,2.83,3.0,3,6.0,6,3.0,3,0,5,58.92,4,24,0.12522971428571428,0.9369257142857143,True
MOL_008486,CCOc1c2c(c(OC)c3c1c(=O)c1ccccc1n3C)OCO2,PubChem_filtered,327.34,327.34,2.83,3.0,3,6.0,6,3.0,3,0,5,58.92,4,24,0.12522971428571428,0.9369257142857143,True
MOL_005101,C[N+](C)(O)CCNc1c2ccccc2nc2cccc([N+](=O)[O-])c12,PubChem_filtered,327.36,327.36,3.17,3.0,3,7.0,7,5.0,5,2,5,88.29,3,24,0.12523314285714282,0.9369171428571429,True
MOL_000042,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,PubChem_filtered,305.34,305.34,2.64,3.0,3,6.0,6,3.0,3,0,4,74.29,3,23,0.12525828571428566,0.9368542857142858,True
MOL_002434,CNCCCNc1cccc2nc3cccc([N+](=O)[O-])c3cc12,PubChem_filtered,310.36,310.36,3.32,3.0,3,6.0,6,6.0,6,2,5,80.09,3,23,0.12531885714285718,0.9367028571428571,True
MOL_002021,CNCCCNc1c2ccccc2nc2cccc([N+](=O)[O-])c12,PubChem_filtered,310.36,310.36,3.32,3.0,3,6.0,6,6.0,6,2,5,80.09,3,23,0.12531885714285718,0.9367028571428571,True
MOL_008531,COc1cc(OC)c2[nH]c3cc(OC)c(OC)cc3c(=O)c2c1,PubChem_filtered,315.33,315.33,2.72,3.0,3,6.0,6,4.0,4,1,5,69.78,3,23,0.12537085714285712,0.9365728571428571,True
MOL_002609,COc1c(OC)c(OC)c2c(=O)c3ccccc3[nH]c2c1OC,PubChem_filtered,315.33,315.33,2.72,3.0,3,6.0,6,4.0,4,1,5,69.78,3,23,0.12537085714285712,0.9365728571428571,True
MOL_009934,O=C(Nc1ccc2nccnc2c1)N(CCO)c1ccccc1,PubChem_filtered,308.34,308.34,2.66,3.0,3,6.0,6,4.0,4,2,4,78.35,3,23,0.1253725714285714,0.9365685714285714,True
MOL_008405,O=C(O)c1cccc2c(=O)c3cc(Cl)cc(C(=O)O)c3[nH]c12,PubChem_filtered,317.68,317.68,2.73,3.0,3,6.0,6,2.0,2,3,3,107.46,3,22,0.1255737142857143,0.9360657142857143,True
MOL_006724,Cc1c(CN(C)c2cccc3c2CCCC3)cnc2nc(N)nc(N)c12,PubChem_filtered,348.45,348.45,3.01,3.0,3,6.0,6,3.0,3,2,6,93.95,4,26,0.1256485714285714,0.9358785714285714,True
MOL_009337,O=C(O)c1ccc2c(c1)C(=O)N(c1cccc3cccnc13)C2=O,PubChem_filtered,318.29,318.29,2.73,3.0,3,6.0,6,2.0,2,1,4,87.57,4,24,0.12567828571428574,0.9358042857142856,True
MOL_009591,COc1nc(OC)nc(N(c2ccccc2)c2ccccc2)n1,PubChem_filtered,308.34,308.34,3.36,3.0,3,6.0,6,5.0,5,0,6,60.37,3,23,0.12577257142857134,0.9355685714285715,True
MOL_010206,c1cncc(-c2nnc(-c3ccc(N4CCOCC4)cc3)o2)c1,PubChem_filtered,308.34,308.34,2.64,3.0,3,6.0,6,3.0,3,0,6,64.28,4,23,0.12577257142857134,0.9355685714285715,True
MOL_009913,Cc1ccc(/C=[N+](/[O-])c2ccc(N(C)C)cc2)c2nsnc12,PubChem_filtered,312.4,312.4,3.33,3.0,3,6.0,6,3.0,3,0,5,55.09,3,22,0.12586857142857144,0.9353285714285714,True
MOL_009914,Cc1ccc(/C=[N+](\[O-])c2ccc(N(C)C)cc2)c2nsnc12,PubChem_filtered,312.4,312.4,3.33,3.0,3,6.0,6,3.0,3,0,5,55.09,3,22,0.12586857142857144,0.9353285714285714,True
MOL_006144,COS(=O)(=O)O.C[n+]1c2ccccc2c(Cl)c2ccccc21,PubChem_filtered,340.81,340.81,2.91,3.0,3,6.0,6,1.0,1,1,3,67.48,3,22,0.12593885714285707,0.9351528571428572,True
MOL_005487,COc1ccc(N2C=Nn3c(nc4sc(C)c(C)c4c3=O)C2)cc1,PubChem_filtered,340.41,340.41,2.9,3.0,3,7.0,7,2.0,2,0,6,59.72,4,24,0.1260702857142857,0.9348242857142857,True
MOL_002527,Cc1cc2cc3cc([N+](=O)[O-])ccc3nc2cc1N,PubChem_filtered,253.26,253.26,3.19,3.0,3,5.0,5,1.0,1,1,4,82.05,3,19,0.126263619047619,0.9343409523809524,True
MOL_002266,COC(=O)NNc1c2ccccc2nc2ccccc12,PubChem_filtered,267.29,267.29,3.07,3.0,3,5.0,5,2.0,2,2,4,63.25,3,20,0.12626876190476188,0.9343280952380952,True
MOL_007085,Cc1c(CN(C)c2ccccc2Cl)cnc2nc(N)nc(N)c12,PubChem_filtered,328.81,328.81,2.79,3.0,3,6.0,6,3.0,3,2,6,93.95,3,23,0.12628171428571422,0.9342957142857143,True
MOL_007083,Cc1c(CN(C)c2ccc(Cl)cc2)cnc2nc(N)nc(N)c12,PubChem_filtered,328.81,328.81,2.79,3.0,3,6.0,6,3.0,3,2,6,93.95,3,23,0.12628171428571422,0.9342957142857143,True
MOL_015555,CCc1cc2c(=O)n(CC(=O)N3CCCc4ccccc43)cnc2s1,PubChem_filtered,353.45,353.45,3.0,3.0,3,6.0,6,3.0,3,0,4,55.2,4,25,0.12630571428571424,0.9342357142857143,True
MOL_005889,CC(=O)c1c(CN(C)c2ccccc2)n([O-])c2ccccc2[n+]1=O,PubChem_filtered,323.35,323.35,2.74,3.0,3,6.0,6,4.0,4,0,4,71.27,3,24,0.12634571428571428,0.9341357142857143,True
MOL_021218,CCc1nc2ccccn2c1N(C=O)c1ccc(N2CCOCC2)cc1,PubChem_filtered,350.42,350.42,3.03,3.0,3,6.0,6,5.0,5,0,4,50.08,4,26,0.12638628571428567,0.9340342857142857,True
MOL_005481,O=c1c2c3c(sc2nc2n1N=CN(c1ccccc1)C2)CCCC3,PubChem_filtered,336.42,336.42,3.15,3.0,3,6.0,6,1.0,1,0,5,50.49,5,24,0.12638628571428567,0.9340342857142857,True
