CID,SMILES,MW,n_aromatic_rings,n_heteroatoms,n_rotatable_bonds,has_donor,has_acceptor
22936,CC(=O)Nc1ccc(Nc2cc(S(=O)(=O)O)c(N)c3c2C(=O)c2ccccc2C3=O)cc1,451.46,3,10,4,True,True
22937,O=C1c2ccc(O)c(O)c2C(=O)c2c(Nc3ccc(O)cc3)ccc(Nc3ccc(O)cc3)c21,454.44,4,8,4,True,True
23015,C[NH+](C)CCC[NH2+]c1c2ccccc2nc2cccc([N+](=O)[O-])c12.[Cl-].[Cl-],397.31,3,6,6,True,True
23036,CN(C)c1ccc2c(-c3ccc([NH+](C)C)cc3)c3ccc(N)cc3nc2c1.[Cl-],392.93,4,4,3,True,True
23037,CN(C)c1ccc(-c2c3ccc(N)cc3nc3cc(N(C)C)ccc23)cc1,356.47,4,4,3,True,True
23139,N#CCCN(CCO)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,373.8,2,8,8,True,True
23157,CN(C)CCCNc1c2ccccc2nc2c([N+](=O)[O-])cccc12,324.38,3,6,6,True,True
23275,CN(C)c1ccc2[nH]cc(CC#N)c2c1,199.26,2,3,2,True,True
23453,c1ccc(N2CCN(c3c4c(nc5ccccc35)CCCC4)CC2)cc1,343.47,3,3,2,True,True
23519,Cc1cccc2c(N)c3cccc(C)c3nc12,222.29,3,2,0,True,True
23520,Nc1c2ccccc2nc2ccc(O)cc12,210.24,3,3,0,True,True
23521,CCCCCCCNc1c2ccccc2nc2ccccc12,292.43,3,2,7,True,True
23773,Cc1cc(N=Nc2ccc([N+](C)(C)[O-])cc2)ccn1,256.31,2,5,3,True,True
23806,Cc1cc(N=Nc2ccc(N(C)C)cc2)cc(C)[n+]1[O-],270.34,2,5,3,True,True
23893,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)[O-])C(=O)[O-])cc1.[Na+].[Na+],498.41,3,13,9,True,True
24144,CCCCCCc1ccc(O)cc1O.Nc1c2ccccc2nc2ccccc12,388.51,4,4,5,True,True
24241,O=C1c2ccccc2C(=O)c2c1ccc1c2[nH]c2ccccc21,297.31,4,3,0,True,True
24703,Cc1c2ccc(N)cc2[nH+]c2cc(N)ccc12.Nc1ccc2cc3ccc(N)cc3nc2c1.[Cl-],468.99,6,6,0,True,True
24704,Cc1c2ccc(N)cc2nc2cc(N)ccc12,223.28,3,3,0,True,True
24896,COc1ccc2nc3cc(Cl)ccc3c([NH2+]CC[NH2+]CCCl)c2c1.[Cl-].[Cl-],437.2,3,4,7,True,True
24897,COc1ccc2nc3cc(Cl)ccc3c(NCCNCCCl)c2c1,364.28,3,4,7,True,True
24898,COc1ccc2nc3cc(Cl)ccc3c([NH2+]CC[NH+](CCCl)CCCl)c2c1.[Cl-].[Cl-],499.7,3,4,9,True,True
24899,COc1ccc2nc3cc(Cl)ccc3c(NCCN(CCCl)CCCl)c2c1,426.78,3,4,9,True,True
25056,c1ccc2c(c1)CCN2CCc1ccncc1,224.31,2,2,3,True,True
25151,CN(C)c1ccc(N=Nc2cccc3c[n+]([O-])ccc23)cc1,292.34,3,5,3,True,True
25183,N#Cc1ccc(N2CC=C(c3ccccc3)CC2)cc1,260.34,2,2,2,True,True
25291,CCCCc1c2ccc3ccccc3c2nc2ccc3ccccc3c12,335.45,5,1,3,True,True
25292,CC(C)c1c2c(ccc3ccccc32)nc2ccc3ccccc3c12,321.42,5,1,1,True,True
25399,Cc1cc2c(C)c3ccccc3nc2c2ccccc12,257.34,4,1,0,True,True
25863,Nc1c(S(=O)(=O)O)cc(Nc2ccc(S(=O)(=O)O)c(Nc3nc(Cl)nc(Cl)n3)c2)c2c1C(=O)c1ccccc1C2=O,637.44,4,16,6,True,True
25895,COS(=O)(=O)[O-].Cc1ccc2c(c1)cc1ccccc1[n+]2C,319.38,3,6,1,True,True
25896,Cc1ccc2c(c1)cc1ccccc1[n+]2C,208.28,3,1,0,True,True
25897,C[n+]1c2ccccc2cc2cccc(N)c21.[Cl-],244.72,3,2,0,True,True
25898,C[n+]1c2ccccc2cc2cccc(N)c21,209.27,3,2,0,True,True
25926,CN(C)c1ccc(Nc2c3ccccc3nc3ccccc23)cc1,313.4,4,3,3,True,True
26219,N#CC1C=Cc2ccccc2N1C(=O)c1ccccc1,260.3,2,3,1,True,True
